Geo Code,Geo Name,Line Number
"01","Canada",2
"10","Newfoundland and Labrador",129
"1001","Division No. 1",256
"1001105","Portugal Cove South, T",383
"1001113","Trepassey, T",510
"1001120","St. Shott's, T",637
"1001124","Division No. 1, Subd. U, SNO",764
"1001126","Cape Broyle, T",891
"1001131","Renews-Cappahayden, T",1018
"1001136","Fermeuse, T",1145
"1001140","Port Kirwan, T",1272
"1001144","Aquaforte, T",1399
"1001149","Ferryland, T",1526
"1001155","Division No. 1, Subd. W, SNO",1653
"1001169","St. Vincent's-St. Stephen's-Peter's River, T",1780
"1001174","Gaskiers-Point La Haye, T",1907
"1001178","St. Mary's, T",2034
"1001181","Riverhead, T",2161
"1001186","Admirals Beach, T",2288
"1001192","St. Joseph's, T",2415
"1001197","Mount Carmel-Mitchells Brook-St. Catherine's, T",2542
"1001203","Division No. 1, Subd. X, SNO",2669
"1001207","Colinet, T",2796
"1001214","Division No. 1, Subd. C, SNO",2923
"1001219","Branch, T",3050
"1001225","Point Lance, T",3177
"1001228","St. Bride's, T",3304
"1001234","Division No. 1, Subd. B, SNO",3431
"1001240","Placentia, T",3558
"1001254","Fox Harbour, T",3685
"1001259","Division No. 1, Subd. A, SNO",3812
"1001263","Long Harbour-Mount Arlington Heights, T",3939
"1001267","Southern Harbour, T",4066
"1001270","Arnold's Cove, T",4193
"1001274","Come By Chance, T",4320
"1001277","Sunnyside, T",4447
"1001281","Chance Cove, T",4574
"1001285","Norman's Cove-Long Cove, T",4701
"1001289","Chapel Arm, T",4828
"1001293","Division No. 1, Subd. Y, SNO",4955
"1001298","Whitbourne, T",5082
"1001304","Division No. 1, Subd. E, SNO",5209
"1001308","Whiteway, T",5336
"1001312","Heart's Delight-Islington, T",5463
"1001316","Heart's Desire, T",5590
"1001321","Division No. 1, Subd. F, SNO",5717
"1001325","Heart's Content, T",5844
"1001328","New Perlican, T",5971
"1001332","Winterton, T",6098
"1001335","Hant's Harbour, T",6225
"1001339","Division No. 1, Subd. G, SNO",6352
"1001343","Old Perlican, T",6479
"1001347","Bay de Verde, T",6606
"1001352","Small Point-Adam's Cove-Blackhead-Broad Cove, T",6733
"1001357","Division No. 1, Subd. H, SNO",6860
"1001361","Salmon Cove, T",6987
"1001365","Victoria, T",7114
"1001370","Carbonear, T",7241
"1001374","Division No. 1, Subd. I, SNO",7368
"1001375","Bryant's Cove, T",7495
"1001379","Harbour Grace, T",7622
"1001385","Upper Island Cove, T",7749
"1001394","Bishop's Cove, T",7876
"1001396","Spaniard's Bay, T",8003
"1001409","Bay Roberts, T",8130
"1001415","Division No. 1, Subd. L, SNO",8257
"1001421","Division No. 1, Subd. M, SNO",8384
"1001426","North River, T",8511
"1001429","Clarke's Beach, T",8638
"1001434","South River, T",8765
"1001437","Cupids, T",8892
"1001441","Division No. 1, Subd. N, SNO",9019
"1001446","Brigus, T",9146
"1001452","Division No. 1, Subd. O, SNO",9273
"1001456","Colliers, T",9400
"1001461","Conception Harbour, T",9527
"1001464","Avondale, T",9654
"1001469","Harbour Main-Chapel's Cove-Lakeview, T",9781
"1001472","Holyrood, T",9908
"1001485","Conception Bay South, T",10035
"1001490","Division No. 1, Subd. R, SNO",10162
"1001494","Wabana, T",10289
"1001504","Portugal Cove-St. Philip's, T",10416
"1001505","Pouch Cove, T",10543
"1001507","Flatrock, T",10670
"1001509","Torbay, T",10797
"1001511","Logy Bay-Middle Cove-Outer Cove, T",10924
"1001512","Bauline, T",11051
"1001517","Paradise, T",11178
"1001519","St. John's, CY",11305
"1001542","Mount Pearl, CY",11432
"1001551","Petty Harbour-Maddox Cove, T",11559
"1001557","Bay Bulls, T",11686
"1001559","Witless Bay, T",11813
"1001565","Division No. 1, Subd. D, SNO",11940
"1002","Division No. 2",12067
"1002001","Division No. 2, Subd. E, SNO",12194
"1002002","Lewin's Cove, T",12321
"1002005","Burin, T",12448
"1002006","Division No. 2, Subd. F, SNO",12575
"1002008","St. Lawrence, T",12702
"1002011","Lawn, T",12829
"1002012","Lamaline, T",12956
"1002013","Lord's Cove, T",13083
"1002014","Point May, T",13210
"1002015","Point au Gaul, T",13337
"1002016","Division No. 2, Subd. H, SNO",13464
"1002017","Frenchman's Cove, T",13591
"1002018","Fortune, T",13718
"1002019","Grand Bank, T",13845
"1002021","Garnish, T",13972
"1002022","Division No. 2, Subd. D, SNO",14099
"1002023","Winterland, T",14226
"1002024","Marystown, T",14353
"1002025","Fox Cove-Mortier, T",14480
"1002026","Division No. 2, Subd. I, SNO",14607
"1002027","Bay L'Argent, T",14734
"1002030","Grand le Pierre, T",14861
"1002031","Division No. 2, Subd. C, SNO",14988
"1002033","Rushoon, T",15115
