GEO_CODE (POR),GEO_LEVEL,GEO_NAME,Population Count,Median Age,Population Density (pop/km2),Mean Weeks Worked,After Tax Measure Low Income Prevalence (%),After Tax Cut-Off Low Income Prevalence (%),Total Youth (0-25),Total Adult (26+),Total Adult Males,Total Adult Females
1001101,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
1001105,3,"Portugal Cove South, T",150,57.1,131.5,26.1,x,x,20,120,60,65
1001113,3,"Trepassey, T",485,59.6,8.6,32.4,20.6,20.6,50,420,205,215
1001120,3,"St. Shott's, T",65,64,58.4,23.4,x,x,5,60,30,35
1001124,3,"Division No. 1, Subd. U, SNO",1625,51.2,2.2,34.4,13.3,13.3,360,1260,640,635
1001126,3,"Cape Broyle, T",490,47.9,48.6,32.3,14.3,14.3,130,360,170,180
1001131,3,"Renews-Cappahayden, T",300,57.6,2.4,30.5,18.3,18.3,45,255,125,130
1001136,3,"Fermeuse, T",325,56.2,8.4,31,17.2,17.2,65,265,125,140
1001140,3,"Port Kirwan, T",50,65,5.7,16,x,x,5,55,15,25
1001144,3,"Aquaforte, T",80,63.8,11.7,27.4,x,x,15,75,30,35
1001149,3,"Ferryland, T",415,56.3,30.4,30,14.5,14.5,75,345,175,170
1001155,3,"Division No. 1, Subd. W, SNO",435,56.3,0.5,31.1,11.5,11.5,50,390,200,185
1001169,3,"St. Vincent's-St. Stephen's-Peter's River, T",310,58.3,3.6,25.7,23.8,23.8,40,270,140,115
1001174,3,"Gaskiers-Point La Haye, T",230,58.3,9.7,23.2,x,x,35,190,95,100
1001178,3,"St. Mary's, T",345,59.2,9.4,39.4,15.7,15.7,45,300,155,150
1001181,3,"Riverhead, T",185,58.1,1.8,29.2,x,x,25,160,80,90
1001186,3,"Admirals Beach, T",135,58.4,5.5,22.9,x,x,20,120,55,60
1001192,3,"St. Joseph's, T",115,61.4,3.6,22.4,x,x,15,110,50,50
1001197,3,"Mount Carmel-Mitchells Brook-St. Catherine's, T",350,58.8,5.7,33.5,13,13,40,310,155,145
1001203,3,"Division No. 1, Subd. X, SNO",510,54.7,0.9,33.4,13.7,13.7,80,435,235,210
1001207,3,"Colinet, T",80,59,12.8,33.9,x,x,10,60,30,35
1001214,3,"Division No. 1, Subd. C, SNO",100,60.8,0.1,30.3,x,x,5,100,45,50
1001219,3,"Branch, T",230,56.4,14.1,24,x,x,50,190,90,85
1001225,3,"Point Lance, T",105,50.5,3.5,27.7,x,x,25,75,35,35
1001228,3,"St. Bride's, T",255,56.9,43.1,27.1,x,x,35,215,110,115
1001234,3,"Division No. 1, Subd. B, SNO",360,54.8,0.8,37.6,16.7,16.7,75,295,140,150
1001240,3,"Placentia, T",3495,53.3,60.2,38.2,17.6,17.6,740,2765,1325,1460
1001254,3,"Fox Harbour, T",250,53,12.7,37.3,22,22,55,195,110,95
1001259,3,"Division No. 1, Subd. A, SNO",730,59.2,0.9,35.6,18.5,18.5,75,650,345,315
1001263,3,"Long Harbour-Mount Arlington Heights, T",185,55.9,10.1,38.8,x,x,30,155,95,75
1001267,3,"Southern Harbour, T",370,53.3,68.3,27.3,15.1,15.1,70,295,150,145
1001270,3,"Arnold's Cove, T",950,51.3,198.2,34.1,12.6,12.6,205,740,360,380
1001274,3,"Come By Chance, T",230,48.8,5.7,37.2,x,x,55,175,100,95
1001277,3,"Sunnyside, T",395,50.5,10,42.6,11.3,11.3,85,320,155,155
1001281,3,"Chance Cove, T",255,59,14.1,31.9,19.2,19.2,20,235,125,115
1001285,3,"Norman's Cove-Long Cove, T",670,55,33.3,33.4,14.2,14.2,140,530,255,265
1001289,3,"Chapel Arm, T",460,51.2,16.3,33.8,13.2,13.2,105,345,185,175
1001293,3,"Division No. 1, Subd. Y, SNO",1120,49.7,5.9,38.7,16.1,16.1,260,865,425,435
1001298,3,"Whitbourne, T",890,47.9,41.4,39.5,14,14,235,655,305,350
1001304,3,"Division No. 1, Subd. E, SNO",2940,50.5,13.4,36.7,17.7,17.7,655,2285,1095,1185
1001308,3,"Whiteway, T",370,52.6,16.5,39.4,12.1,12.1,80,290,135,170
1001312,3,"Heart's Delight-Islington, T",675,55.4,24.7,36.9,17.8,17.8,125,545,260,290
1001316,3,"Heart's Desire, T",210,54.2,12.3,35.4,x,x,35,185,75,100
1001321,3,"Division No. 1, Subd. F, SNO",545,53,3.1,30.8,16.5,16.5,105,430,225,215
1001325,3,"Heart's Content, T",340,59.2,5.4,31.6,20.6,20.6,40,305,150,155
1001328,3,"New Perlican, T",190,58.8,7.6,36.7,x,x,25,160,80,75
1001332,3,"Winterton, T",450,58.2,42.7,32.1,16.5,16.5,65,385,195,200
1001335,3,"Hant's Harbour, T",330,57.6,10.2,22.8,19.7,19.7,55,280,125,150
1001339,3,"Division No. 1, Subd. G, SNO",1865,55.4,6,27.6,21.2,21.2,315,1545,765,775
1001343,3,"Old Perlican, T",635,48.4,43.7,27.1,7.1,7.1,135,500,250,245
1001347,3,"Bay de Verde, T",390,55.4,29.5,22.9,12.7,12.7,70,320,155,170
1001352,3,"Small Point-Adam's Cove-Blackhead-Broad Cove, T",390,54.4,17.4,33.8,15.6,15.6,70,305,160,155
1001357,3,"Division No. 1, Subd. H, SNO",390,54.4,6.9,32.1,12.8,12.8,80,295,150,155
1001361,3,"Salmon Cove, T",680,51,161.6,37.8,16.2,16.2,155,520,265,260
1001365,3,"Victoria, T",1800,47.3,102.1,35.5,17.8,17.8,450,1360,625,730
1001370,3,"Carbonear, T",4860,49,411.5,38.8,17.1,17.1,1190,3665,1680,1995
1001374,3,"Division No. 1, Subd. I, SNO",295,45.4,4.6,41.4,6.7,6.7,70,235,110,110
1001375,3,"Bryant's Cove, T",395,46.2,80.9,36.4,16.5,16.5,105,290,130,155
1001379,3,"Harbour Grace, T",2995,51.2,88.8,36.5,21,21,655,2350,1140,1205
1001385,3,"Upper Island Cove, T",1565,49.6,199,36.8,18.3,18.3,360,1210,560,625
1001391,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
1001394,3,"Bishop's Cove, T",285,54.9,152,35.9,20.7,20.7,50,240,125,120
1001396,3,"Spaniard's Bay, T",2655,45.7,40.4,37.5,18.3,18.3,695,1950,960,1005
1001405,NA,NA,NA,NA,0.7,NA,NA,NA,NA,NA,NA,NA
1001409,3,"Bay Roberts, T",6015,44.3,249.9,38.6,15.9,15.9,1670,4355,2050,2290
1001415,3,"Division No. 1, Subd. L, SNO",925,46.6,114.8,34.2,14.5,14.5,245,690,315,345
1001421,3,"Division No. 1, Subd. M, SNO",1070,49.2,7.7,35.5,15.9,15.9,245,825,420,415
1001426,3,"North River, T",570,50.1,137.7,36,11.4,11.4,125,435,220,235
1001429,3,"Clarke's Beach, T",1555,53.2,122.6,40.5,19.6,19.6,330,1215,530,695
1001434,3,"South River, T",650,51.5,107.1,40.4,11.6,11.6,125,525,245,270
1001437,3,"Cupids, T",745,49.7,67.4,37.5,16.1,16.1,170,570,275,300
